"timeMillisSpent","score"
172,"-35hard/622soft"
217,"-34hard/622soft"
237,"-33hard/622soft"
261,"-32hard/622soft"
285,"-31hard/622soft"
304,"-30hard/622soft"
321,"-29hard/622soft"
340,"-28hard/622soft"
357,"-27hard/622soft"
373,"-26hard/622soft"
391,"-25hard/622soft"
410,"-24hard/622soft"
424,"-23hard/622soft"
436,"-22hard/622soft"
450,"-21hard/622soft"
472,"-20hard/622soft"
529,"-19hard/622soft"
542,"-18hard/622soft"
678,"-17hard/622soft"
779,"-16hard/622soft"
813,"-15hard/622soft"
819,"-14hard/622soft"
842,"-13hard/622soft"
1090,"-12hard/622soft"
1213,"-11hard/622soft"
1261,"-10hard/622soft"
1269,"-9hard/622soft"
1581,"-8hard/622soft"
3337,"-7hard/622soft"
3771,"-6hard/622soft"
4019,"-5hard/622soft"
8157,"-4hard/622soft"
