"timeMillisSpent","score"
35,"-35hard/622soft"
37,"-34hard/622soft"
39,"-33hard/622soft"
40,"-32hard/622soft"
40,"-31hard/622soft"
41,"-30hard/622soft"
42,"-29hard/622soft"
42,"-28hard/622soft"
42,"-27hard/622soft"
42,"-26hard/622soft"
42,"-25hard/622soft"
42,"-24hard/622soft"
48,"-23hard/622soft"
48,"-22hard/622soft"
48,"-21hard/622soft"
48,"-20hard/622soft"
54,"-19hard/622soft"
54,"-18hard/622soft"
56,"-17hard/622soft"
57,"-16hard/622soft"
60,"-15hard/622soft"
62,"-14hard/622soft"
65,"-13hard/622soft"
72,"-12hard/622soft"
101,"-11hard/622soft"
134,"-10hard/622soft"
176,"-9hard/622soft"
181,"-8hard/622soft"
228,"-7hard/622soft"
447,"-6hard/622soft"
1451,"-5hard/622soft"
4599,"-4hard/622soft"
