"timeMillisSpent","score"
17,"-35hard/622soft"
19922,"-34hard/622soft"
19922,"-33hard/622soft"
19925,"-32hard/622soft"
19929,"-31hard/622soft"
19930,"-30hard/622soft"
19930,"-29hard/622soft"
19938,"-28hard/622soft"
19938,"-27hard/622soft"
19938,"-26hard/622soft"
19953,"-25hard/622soft"
19953,"-24hard/622soft"
19953,"-23hard/622soft"
19953,"-22hard/622soft"
19955,"-21hard/622soft"
19956,"-20hard/622soft"
19960,"-19hard/622soft"
19960,"-18hard/622soft"
19963,"-17hard/622soft"
19970,"-16hard/622soft"
19970,"-15hard/622soft"
19976,"-14hard/622soft"
19976,"-13hard/622soft"
19983,"-12hard/622soft"
19994,"-11hard/622soft"
19998,"-10hard/622soft"
